시도명,시군구명,도로종류,도로노선번호,도로노선명,차로수,버스전용차로기점명,버스전용차로종점명,버스전용차로기점위도,버스전용차로기점경도,버스전용차로종점위도,버스전용차로종점경도,버스전용차로총연장,버스전용차로종류,버스전용차로지정해제여부,시행일자,운영시간구분,평일시작시각,평일종료시각,토요일시작시각,토요일종료시각,공휴일시작시각,공휴일종료시각,명절연휴시작시각,명절연휴종료시각,통행가능차량,버스전용차로속도,관리기관명,관리기관전화번호,데이터기준일자
17,제주시,4,1131,중앙로,,광양사거리,아라초등학교,33.5009231,126.5273237,33.4762297,126.5416041,2.7,1,Y,2018-01-01,4,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,노선버스+전세버스+택시+긴급자동차+경찰서장의 승인을 받은 어린이 통학버스,,대중교통과,064-710-4328,2019-09-18
17,제주시,5,광로3001,공항로,,제주국제공항입구,7호광장(해태동산),33.5054371,126.4957285,33.4983361,126.4963664,0.8,1,Y,2018-01-01,4,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,노선버스+전세버스+택시+긴급자동차+경찰서장의 승인을 받은 어린이 통학버스,,대중교통과,064-710-4328,2019-09-18
17,제주시,4,1136. 1139. 1132,노형로~도령로~동서광로,,무수천4가,제주국립박물관,33.4599505,126.4446753,33.5113756,126.5457024,11.8,2,Y,2018-01-01,2,07:00+16:30,09:00+19:30,0:00,0:00,0:00,0:00,0:00,0:00,노선버스+전세버스+택시+긴급자동차+경찰서장의 승인을 받은 어린이 통학버스,,대중교통과,064-710-4328,2019-09-18
